StoreID	Address	City	ZipCode	County
2106	2217 College	Cedar Falls	50613	BLACK HAWK
2130	617 Sycamore	Waterloo	50703	BLACK HAWK
2178	618 Rossville Road	Waukon	52172	ALLAMAKEE
2190	1460 2ND AVE	Des Moines	50314	POLK
2191	1013 Main	Keokuk	52632	LEE
2200	619 E Main St	Sac City	50583	SAC
2228	53 Green St	Winterset	50273	MADISON
2233	2508 Enterprise Ave	Spirit Lake	51360	DICKINSON
2238	305 34th Ave NW	Altoona	50009	POLK
2248	3500 Ingersoll Ave	Des Moines	50312	POLK
2285	401 East Market St	Iowa City	52240	JOHNSON
2445	504 South Highway	Oakland	51560	POTTAWATTA
2459	200 State Po Box 98	Guthrie Center	50115	GUTHRIE
2465	2727 Dodge St	Dubuque	52003	DUBUQUE
2478	One Prairie Meadows Drive	Altoona	50009	POLK
2500	3800 W Lincoln Way	Ames	50010	STORY
2501	640 Lincolnway	Ames	50010	STORY
2502	410 North Ankeny Blvd	Ankeny	50021	POLK
2505	1111  8TH ST	Boone	50036	BOONE
2506	3140 Agency	Burlington	52601	DES MOINES
2507	939 Angular	Burlington	52601	DES MOINES
2508	"1843 Johnson Avenue, N.W."	Cedar Rapids	52405	LINN
2509	1520 6th St SW	Cedar Rapids	52404	LINN
2512	1720 Waterfront Dr	Iowa City	52240	JOHNSON
2513	812  S 1st Ave	Iowa City	52240	JOHNSON
2515	2400 4th St SW	Mason City	50401	CERRO GORD
2517	1501 First Avenue East	Newton	50208	JASPER
2518	1607 North Broadway	Red Oak	51566	MONTGOMERY
2521	1990 Grand Avenue	West Des Moines	50265	POLK
2522	Hwy 9 & 71	Spirit Lake	51360	DICKINSON
2523	609 N 18th	Centerville	52544	APPANOOSE
2524	3500 Dodge St	Dubuque	52001	DUBUQUE
2527	1107 SE Army Post Rd	Des Moines	50315	POLK
2528	3221 SE 14th St	Des Moines	50315	POLK
2529	4825 Johnson Ave NW	Cedar Rapids	52405	LINN
2532	2540 E Euclid	Des Moines	50317	POLK
2535	1700 Valley West Dr	West Des Moines	50265	POLK
2536	4815 Maple Drive	Pleasant Hill	50317	POLK
2538	1422 Flammang Dr	Waterloo	50702	BLACK HAWK
2539	640 S. Oak	Iowa Falls	50126	HARDIN
2543	1025 North Quincy Ave	Ottumwa	52501	Wapello
2544	802 South Center	Marshalltown	50158	MARSHALL
2545	310 N 1st St	Iowa City	52245	JOHNSON
2548	100 8th Street SW	Altoona	50009	POLK
2549	910 N Jefferson	Indianola	50125	WARREN
2550	510 West Mclane	Osceola	50213	CLARKE
2551	2001 West Court	Chariton	50049	LUCAS
2552	20 Wilson Avenue West	Cedar Rapids	52404	LINN
2553	600 Sheldon	Creston	50801	UNION
2554	3019 Rockingham Road	Davenport	52802	SCOTT
2555	3111 Main	Keokuk	52632	LEE
2556	1033 Central Avenue	Estherville	51334	EMMET
2558	1700 E Washington	Mount Pleasant	52641	HENRY
2559	301 Hwy. 34 West	Albia	52531	MONROE
